school_id,page_url,page_load_time_ms,page_width,page_height,NDOM_nodes,NDOM_height,page_template,page_menu_or,page_ungrouped_multim,metric,task1,task2,task3,task4,task5,task6,task7,task8
PDPS01000T,https://www.liceocuriel.edu.it,1185,1587,3936,294,7,5.0,1.0,0.0,4.4,6.5,2.58,2.89,3.07,6.5,8.84,2.0,2.58
RERI004015,https://www.istitutodarzo.edu.it,1889,1602,5186,313,7,9.0,1.0,1.0,-1.0,6.52,43.67,6.59,18.93,43.68,24.81,6.5,6.5
NAPS011012,https://www.adrianotilgher.edu.it,4712,1604,4785,717,7,9.0,3.0,7.0,3.5,3.27,4.34,7.0,8.2,4.42,7.67,7.0,0.6
BAPS36000G,https://www.liceomajoranalaterza.edu.it,3999,1587,5030,511,9,1.0,1.0,5.0,4.0,3.48,2.78,3.24,2.11,2.8,2.73,3.53,2.91
ARRI017016,https://www.isartegiovagnoli.com,2646,1588,0,1,0,9.0,1.0,1.0,-1.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
ANPS011016,https://www.laeng-meucci.edu.it,1727,5158,3751,247,7,5.0,1.0,3.0,4.3,2.89,2.58,2.89,3.09,6.5,6.5,1.97,2.58
PZPC01901Q,https://www.liceimarsicoviggiano.edu.it,2945,1587,7432,306,7,9.0,3.0,0.0,4.0,6.5,2.05,5.9,8.11,1.98,6.5,15.76,2.47
BAPS030005,https://www.liceobisceglie.it,1714,1587,1583,37,5,9.0,1.0,1.0,-1.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
CSTD07000T,https://www.itcgtacri.edu.it,1308,1587,4080,365,7,5.0,1.0,3.0,4.3,3.1,2.79,3.1,3.32,6.5,10.31,5.5,2.79
GRPS00702Q,https://www.scuoletoscane.it,929,1587,1102,46,3,9.0,1.0,1.0,-1.0,6.5,6.5,6.5,2.01,6.5,6.5,6.5,6.5
CATD027013,https://www.asproni-fermi.it,236,1588,52,3,1,9.0,1.0,1.0,-1.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
BOPS080005,https://www.liceovinci.edu.it,3791,1587,3830,235,7,8.0,1.0,18.0,3.2,3.15,2.46,3.14,3.54,6.5,6.5,5.95,2.46
PSPS01000G,https://liceotorelli.edu.it/,3363,1587,5542,441,7,5.0,1.0,4.0,4.3,2.96,2.58,2.97,3.2,6.5,2.95,9.93,2.58
MIPS11002E,https://www.levi.edu.it,2216,1587,4668,271,5,9.0,1.0,0.0,4.4,6.64,31.6,6.4,6.5,6.55,6.61,31.43,6.63
MIPS10101P,https://www.torricellimi.edu.it,1238,1587,5025,303,7,5.0,1.0,6.0,4.2,0.3,2.58,2.89,3.14,6.5,3.05,0.3,2.58
GERH01000G,https://www.marcopolo.edu.it,919,1587,2536,150,5,3.0,1.0,8.0,3.8,1.33,1.84,1.22,6.5,22.35,6.5,23.52,21.58
NATL14301L,https://www.polotecnicofermigadda.edu.it,3252,1587,3685,496,7,7.0,1.0,7.0,4.0,3.12,2.28,3.12,3.62,6.5,5.72,6.5,2.28
RMPS65000Q,https://www.liceodemocrito.edu.it,3245,1587,4640,158,5,4.0,3.0,0.0,4.0,1.62,6.5,4.83,8.26,6.5,6.5,1.01,2.37
TOPS340002,https://www.lsgobettitorino.edu.it,200,1604,848,1,0,7.0,1.0,27.0,3.4,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
BITL007015,https://www.iisgaeaulenti.it,6677,1587,6167,932,9,9.0,1.0,56.0,2.7,11.72,3.49,12.26,7.18,7.0,1.62,7.0,4.35
BAPS080006,https://www.liceonuzzi.edu.it,574,1587,4382,324,7,5.0,1.0,5.0,4.2,2.89,2.58,2.89,3.08,6.5,9.95,6.5,2.58
PDPS02000C,https://www.liceofermipadova.edu.it,5334,1587,13149,378,7,8.0,1.0,15.0,3.3,4.63,6.5,3.56,8.32,3.26,6.5,2.81,3.49
