school_id,page_url,page_load_time_ms,page_width,page_height,NDOM_nodes,NDOM_height,page_template,page_menu_or,page_ungrouped_multim,metric,task1,task2,task3,task4,task5,task6,task7,task8
BGTF00401R,https://www.isarchimede.edu.it,2839,1587,4564,374,7,4.0,3.0,8.0,4.0,1.01,2.12,1.45,3.31,2.59,1.55,3.03,0.68
AQPS018016,https://www.iisbafile.edu.it,1309,1587,5263,198,7,7.0,1.0,8.0,4.0,53.32,53.17,54.15,6.5,53.23,11.66,53.95,3.1
RITD090006,https://www.istitutoonnicomprensivoborgorose.it,1714,1587,3737,356,7,5.0,1.0,3.0,4.4,3.1,2.79,3.1,3.31,6.5,9.09,4.9,2.79
SSPS024025,https://www.iisantoniosegni.edu.it/,4346,1587,3218,328,5,4.0,3.0,7.0,4.0,1.01,2.12,1.45,3.34,2.22,3.21,1.5,1.06
GETF01101R,https://www.nattadeambrosis.edu.it,2859,1587,5294,259,7,8.0,1.0,7.0,3.5,3.12,2.46,3.12,3.51,6.5,2.99,9.38,2.46
AGPS030009,https://liceoscientificoleonardo.it/,7325,1587,5076,295,7,5.0,1.0,3.0,4.4,3.3,29.31,3.29,29.01,29.31,29.31,6.5,2.52
CHPS02101B,https://www.scientificogalileilanciano.edu.it,615,1587,3190,396,7,7.0,1.0,4.0,4.3,53.7,53.36,3.3,53.59,54.67,9.48,3.0,6.5
PVTD009023,https://www.istitutomaserati.edu.it,4232,1587,3309,249,7,8.0,1.0,18.0,3.1,2.77,6.5,4.01,4.77,2.46,6.5,3.44,2.46
BITF01000Q,https://www.itis.biella.it,2203,1215,9594,440,6,9.0,1.0,13.0,3.2,6.5,2.37,3.74,2.32,2.31,3.7,2.73,4.83
CAPS120008,https://liceopitagoraselargius.edu.it/,1585,1587,4503,257,7,5.0,1.0,3.0,4.4,3.14,2.47,3.14,3.54,2.47,10.04,6.5,2.47
BRTD01000T,https://www.itesgiovannicalo.edu.it,1944,1587,6315,227,7,7.0,1.0,39.0,3.0,53.23,53.17,3.02,53.97,53.32,15.03,2.01,2.34
CBPS01000B,https://romita.edu.it/,2208,1587,5582,228,7,9.0,3.0,5.0,3.9,3.82,4.44,6.5,4.17,6.5,2.11,6.5,3.36
RMTA06001G,https://www.agrariosereni.edu.it/,2965,1587,6895,273,7,8.0,1.0,30.0,3.0,1.74,6.5,1.99,1.99,2.46,6.5,6.5,3.15
RMTD093019,https://www.iismargheritahack.edu.it,2110,1587,3937,247,7,8.0,1.0,10.0,3.5,3.11,2.46,3.1,3.49,6.5,6.5,5.68,2.46
RMPS102013,https://www.liceofrancescodassisi.edu.it,1380,1587,6082,498,9,1.0,1.0,4.0,4.0,3.98,2.84,6.5,3.62,3.09,9.88,6.5,3.27
BARH02901Q,https://www.iissfiore.edu.it,5512,1587,6583,471,5,3.0,1.0,19.0,2.9,18.9,4.26,19.01,2.72,4.33,16.12,6.5,0.83
VRRH03000E,https://www.carnacina.edu.it,3611,1587,7247,288,7,8.0,1.0,17.0,3.0,28.08,6.5,2.64,3.22,3.21,6.5,6.5,2.78
PSTD018013,https://www.iisraffaello.edu.it,2876,1587,4580,257,7,8.0,1.0,6.0,3.6,3.11,2.46,3.1,3.49,6.5,6.5,6.5,2.46
ANPS01401N,https://www.istitutovolterraelia.it,2804,1587,3533,315,7,8.0,1.0,27.0,3.0,6.5,2.46,3.63,3.12,2.46,6.5,3.58,2.46
VITF010009,https://galileiarzignano.edu.it/,3372,1587,7711,253,6,5.0,1.0,0.0,4.0,2.76,1.87,2.76,3.25,6.5,6.5,6.5,1.87
LTTF09000X,https://www.itisfondi.it,239,1588,0,1,0,5.0,1.0,4.0,4.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
MSTF018015,https://www.iismeuccimassa.it,1983,1587,4117,342,11,4.0,3.0,8.0,4.0,1.34,1.5,6.72,4.53,3.7,1.42,6.5,1.29
VCPS021016,https://iisavogadrovc.edu.it/,3098,1587,3224,141,5,1.0,1.0,6.0,4.0,6.5,6.5,2.26,6.5,6.5,6.5,6.5,7.39
